Country,Year,Production
Argentina,1982,572
Argentina,1987,95
Australia,1982,4422
Belgium,1982,44
Belgium,1984,50
Belgium,1987,54
Brazil,1981,5
Brazil,1986,26
Brazil,1988,15
Brazil,1989,30
Canada,1981,7507
Canada,1986,11722
Canada,1987,12437
Canada,1989,11427
Czechoslovakia,1990,2142
France,1981,2554
France,1986,3237
France,1990,2935
France,1991,2479
Gabon,1985,939
Gabon,1991,678
German Federal Republic,1983,48
India,1984,100
India,1985,115
India,1987,127
India,1991,200
Namibia,1981,3970
Namibia,1987,3540
Namibia,1988,3510
Niger,1987,2968
Niger,1989,2980
Portugal,1987,126
South Africa,1981,6135
South Africa,1982,5792
South Africa,1984,5732
South Africa,1986,4630
South Africa,1989,2931
South Africa,1990,2438
Spain,1988,228
Spain,1989,228
Spain,1990,164
USA,1983,8200
USA,1984,5700
USA,1985,4300
Yugoslavia,1983,0
Yugoslavia,1986,68
Yugoslavia,1990,53
Yugoslavia,1991,5
Argentina,1994,80
Australia,1993,2256
Australia,1996,4976
Australia,2000,7588
Australia,2002,7146
Brazil,1992,0
Brazil,2002,270
Canada,1997,12020
Canada,2000,10683
Canada,2001,12487
China,1994,780
Czech Republic,1995,611
Czech Republic,2000,498
France,1994,1027
France,2000,319
Gabon,1994,589
Germany,1992,232
Hungary,1994,415
Hungary,1995,221
Hungary,1997,222
India,1996,200
India,1997,200
Kazakhstan,1992,2802
Namibia,1992,1528
Namibia,1994,1724
Namibia,1996,2222
Pakistan,1993,23
Pakistan,1995,23
Pakistan,1997,23
Portugal,1995,19
Portugal,1996,14
Portugal,2001,4
Portugal,2002,2
Russia,1997,2000
Russia,1998,2000
South Africa,2001,903
Spain,1992,187
Spain,1993,183
Spain,1998,255
Spain,2001,0
USA,1998,1810
USA,2000,1522
Ukraine,1995,500
Uzbekistan,1992,2680
Uzbekistan,1999,2130
Uzbekistan,2000,2350
Australia,2007,8603
Australia,2013,6393
Brazil,2004,300
Brazil,2009,345
Brazil,2013,192
Canada,2007,9475
China,2003,750
China,2007,712
China,2013,1500
Czech Republic,2005,420
Czech Republic,2006,383
Czech Republic,2011,252
Germany,2006,65
Germany,2010,8
India,2007,270
India,2011,400
Kazakhstan,2004,3719
Kazakhstan,2008,8521
Malawi,2006,0
Malawi,2007,0
Malawi,2012,1102
Namibia,2008,4371
Namibia,2011,3262
Namibia,2013,4328
Niger,2010,4198
Niger,2013,4277
Pakistan,2010,45
Romania,2006,90
Romania,2011,77
Russia,2004,3280
Russia,2009,3565
Russia,2011,2993
South Africa,2003,758
South Africa,2006,542
South Africa,2007,525
South Africa,2008,555
South Africa,2012,467
USA,2010,1628
Ukraine,2003,800
Ukraine,2006,800
Ukraine,2010,850
Uzbekistan,2003,1770
